,index,year,state,code,majority_religion,majority_population,majority_ratio
108,595,2005,Austria,AUS,christianity,6285258.0,0.7634
109,596,2010,Austria,AUS,christianity,6124531.0,0.73
110,585,2015,Austria,AUS,christianity,6124531.0,0.73
111,802,1995,Azerbaijan,AZE,islam,6738299.0,0.9
112,803,2000,Azerbaijan,AZE,islam,6960600.0,0.9
113,804,2005,Azerbaijan,AZE,islam,8056320.0,0.96
114,805,2010,Azerbaijan,AZE,islam,8595234.0,0.95
115,802,2015,Azerbaijan,AZE,islam,8595234.0,0.95
116,28,1975,Bahamas,BHM,christianity,164603.0,0.8709
117,29,1980,Bahamas,BHM,christianity,174180.0,0.8294
118,30,1985,Bahamas,BHM,christianity,185700.0,0.8004
119,31,1990,Bahamas,BHM,christianity,209670.0,0.8222
120,32,1995,Bahamas,BHM,christianity,253645.0,0.8931
121,33,2000,Bahamas,BHM,christianity,297045.0,0.966
122,34,2005,Bahamas,BHM,christianity,313950.0,0.966
123,35,2010,Bahamas,BHM,christianity,302657.0,0.966
124,28,2015,Bahamas,BHM,christianity,302657.0,0.966
125,1556,1970,Bahrain,BAH,islam,206000.0,0.945
126,1557,1975,Bahrain,BAH,islam,252000.0,0.9618
127,1558,1980,Bahrain,BAH,islam,305309.0,0.9141
128,1559,1985,Bahrain,BAH,islam,367000.0,0.8635
129,1560,1990,Bahrain,BAH,islam,434354.0,0.8635
130,1561,1995,Bahrain,BAH,islam,546500.0,0.9455
131,1562,2000,Bahrain,BAH,islam,559513.0,0.9068
132,1563,2005,Bahrain,BAH,islam,782844.0,0.8808
133,1564,2010,Bahrain,BAH,islam,1106174.0,0.8959999999999999
134,1556,2015,Bahrain,BAH,islam,1106174.0,0.8959999999999999
135,1741,1975,Bangladesh,BNG,islam,67432694.0,0.8540000000000001
136,1742,1980,Bangladesh,BNG,islam,77149860.0,0.87
137,1743,1985,Bangladesh,BNG,islam,87036177.0,0.8753
138,1744,1990,Bangladesh,BNG,islam,96922495.0,0.883
139,1745,1995,Bangladesh,BNG,islam,105238920.0,0.8901
140,1746,2000,Bangladesh,BNG,islam,115722880.0,0.8959999999999999
141,1747,2005,Bangladesh,BNG,islam,123921312.0,0.8941
142,1748,2010,Bangladesh,BNG,islam,132119746.0,0.897
143,1741,2015,Bangladesh,BNG,islam,132119746.0,0.897
144,100,1970,Barbados,BAR,christianity,165690.0,0.6933
145,101,1975,Barbados,BAR,christianity,167765.0,0.7019
146,102,1980,Barbados,BAR,christianity,167840.0,0.6741
147,103,1985,Barbados,BAR,christianity,176790.0,0.6988
148,104,1990,Barbados,BAR,christianity,177173.0,0.6894
149,105,1995,Barbados,BAR,christianity,183005.0,0.6932
150,106,2000,Barbados,BAR,christianity,188838.0,0.6994
151,107,2005,Barbados,BAR,christianity,187296.0,0.6861
152,108,2010,Barbados,BAR,christianity,185756.0,0.6434
153,100,2015,Barbados,BAR,christianity,185756.0,0.6434
154,790,1995,Belarus,BLR,christianity,7159892.0,0.6964
155,791,2000,Belarus,BLR,christianity,5989515.0,0.5851
156,792,2005,Belarus,BLR,christianity,4892500.0,0.5005
157,793,2010,Belarus,BLR,christianity,5394257.0,0.5684
158,790,2015,Belarus,BLR,christianity,5394257.0,0.5684
159,453,1945,Belgium,BEL,christianity,8149719.0,0.9767
160,454,1950,Belgium,BEL,christianity,8488651.0,0.9826
161,455,1955,Belgium,BEL,christianity,8601056.0,0.9699
162,456,1960,Belgium,BEL,christianity,8819423.0,0.9636
163,457,1965,Belgium,BEL,christianity,9011675.0,0.9522
164,458,1970,Belgium,BEL,christianity,8943266.0,0.9262
165,459,1975,Belgium,BEL,christianity,8872452.0,0.9058
166,460,1980,Belgium,BEL,christianity,8801639.0,0.8938
167,461,1985,Belgium,BEL,christianity,8648544.0,0.8773
168,462,1990,Belgium,BEL,christianity,8495449.0,0.8524
169,463,1995,Belgium,BEL,christianity,8222233.0,0.8111
170,464,2000,Belgium,BEL,christianity,7909604.0,0.7784
171,465,2005,Belgium,BEL,christianity,8139550.0,0.7772
172,466,2010,Belgium,BEL,christianity,7526165.0,0.6920000000000001
173,453,2015,Belgium,BEL,christianity,7526165.0,0.6920000000000001
174,165,1980,Belize,BLZ,christianity,132300.0,0.882
175,166,1985,Belize,BLZ,christianity,144500.0,0.8705
176,167,1990,Belize,BLZ,christianity,163920.0,0.8673
177,168,1995,Belize,BLZ,christianity,186321.0,0.8626
178,169,2000,Belize,BLZ,christianity,192222.0,0.7976
179,170,2005,Belize,BLZ,christianity,208096.0,0.7127
180,171,2010,Belize,BLZ,christianity,223972.0,0.7365
181,165,2015,Belize,BLZ,christianity,223972.0,0.7365
182,941,1960,Benin,BEN,animism,1615380.0,0.7221
183,942,1965,Benin,BEN,animism,1567519.0,0.725
184,943,1970,Benin,BEN,animism,1841564.0,0.6775
185,944,1975,Benin,BEN,animism,2075040.0,0.6668
186,945,1980,Benin,BEN,animism,2204920.0,0.6369
187,946,1985,Benin,BEN,animism,2546170.0,0.6273
188,947,1990,Benin,BEN,animism,2522300.0,0.5322
189,948,1995,Benin,BEN,animism,2308085.0,0.4265
190,949,2000,Benin,BEN,christianity,2635093.0,0.4322
191,950,2005,Benin,BEN,christianity,3161071.0,0.4275
192,951,2010,Benin,BEN,christianity,3514394.0,0.4
193,949,2015,Benin,BEN,christianity,3514394.0,0.4
194,1720,1975,Bhutan,BHU,buddhism,842070.0,0.7265
195,1721,1980,Bhutan,BHU,buddhism,850450.0,0.73
196,1722,1985,Bhutan,BHU,buddhism,1049230.0,0.7231
197,1723,1990,Bhutan,BHU,buddhism,1213370.0,0.7376
198,1724,1995,Bhutan,BHU,buddhism,1378300.0,0.7787
199,1725,2000,Bhutan,BHU,buddhism,1764913.0,0.8309
200,1726,2005,Bhutan,BHU,buddhism,551176.0,0.8202
201,1727,2010,Bhutan,BHU,buddhism,583740.0,0.8402
202,1720,2015,Bhutan,BHU,buddhism,583740.0,0.8402
203,343,1945,Bolivia,BOL,christianity,2558000.0,0.8975
204,344,1950,Bolivia,BOL,christianity,2604980.0,0.9598
205,345,1955,Bolivia,BOL,christianity,3093159.0,0.9978
206,346,1960,Bolivia,BOL,christianity,3166695.0,0.945
207,347,1965,Bolivia,BOL,christianity,3541860.0,0.945
208,348,1970,Bolivia,BOL,christianity,4001400.0,0.95
209,349,1975,Bolivia,BOL,christianity,4672010.0,0.9817
210,350,1980,Bolivia,BOL,christianity,5292850.0,0.9884
211,351,1985,Bolivia,BOL,christianity,5728400.0,0.9717
212,352,1990,Bolivia,BOL,christianity,6272300.0,0.9543
213,353,1995,Bolivia,BOL,christianity,7300880.0,0.9847
214,354,2000,Bolivia,BOL,christianity,7842641.0,0.9416
215,355,2005,Bolivia,BOL,christianity,9033088.0,0.9582
216,356,2010,Bolivia,BOL,christianity,9720100.0,0.9426
217,343,2015,Bolivia,BOL,christianity,9720100.0,0.9426
218,694,1995,Bosnia and Herzegovina,BOS,christianity,2286840.0,0.51
219,695,2000,Bosnia and Herzegovina,BOS,christianity,1986000.0,0.5
220,696,2005,Bosnia and Herzegovina,BOS,christianity,1987185.0,0.5171
221,697,2010,Bosnia and Herzegovina,BOS,christianity,1988372.0,0.52
222,694,2015,Bosnia and Herzegovina,BOS,christianity,1988372.0,0.52
223,1290,1970,Botswana,BOT,animism,374740.0,0.6277
224,1291,1975,Botswana,BOT,animism,377360.0,0.53
225,1292,1980,Botswana,BOT,animism,455940.0,0.51
226,1293,1985,Botswana,BOT,christianity,544000.0,0.5
227,1294,1990,Botswana,BOT,christianity,704700.0,0.5421
228,1295,1995,Botswana,BOT,christianity,835638.0,0.5739
229,1296,2000,Botswana,BOT,christianity,874624.0,0.5392
230,1297,2005,Botswana,BOT,christianity,1138738.0,0.6667
231,1298,2010,Botswana,BOT,christianity,1250799.0,0.6920000000000001
232,1293,2015,Botswana,BOT,christianity,1250799.0,0.6920000000000001
233,329,1945,Brazil,BRA,christianity,45845588.0,0.992
234,330,1950,Brazil,BRA,christianity,49349737.0,0.9501
235,331,1955,Brazil,BRA,christianity,55564014.0,0.9163
236,332,1960,Brazil,BRA,christianity,70935420.0,0.9772
237,333,1965,Brazil,BRA,christianity,80576608.0,0.9559
238,334,1970,Brazil,BRA,christianity,94526013.0,0.9862
239,335,1975,Brazil,BRA,christianity,106775993.0,0.9884
240,336,1980,Brazil,BRA,christianity,117027504.0,0.987
241,337,1985,Brazil,BRA,christianity,129071456.0,0.978
242,338,1990,Brazil,BRA,christianity,138033011.0,0.9538
243,339,1995,Brazil,BRA,christianity,151406004.0,0.9717
244,340,2000,Brazil,BRA,christianity,146447175.0,0.8609
245,341,2005,Brazil,BRA,christianity,157380092.0,0.8582
246,342,2010,Brazil,BRA,christianity,168313010.0,0.8823
247,329,2015,Brazil,BRA,christianity,168313010.0,0.8823
248,1874,1985,Brunei,BRU,islam,132980.0,0.61
249,1875,1990,Brunei,BRU,islam,154330.0,0.61
250,1876,1995,Brunei,BRU,islam,177600.0,0.6
251,1877,2000,Brunei,BRU,islam,219760.0,0.67
252,1878,2005,Brunei,BRU,islam,254600.0,0.67
253,1879,2010,Brunei,BRU,islam,335000.0,0.8129
254,1874,2015,Brunei,BRU,islam,335000.0,0.8129
255,728,1945,Bulgaria,BUL,christianity,5948011.0,0.8571
256,729,1950,Bulgaria,BUL,christianity,6063779.0,0.8363
257,730,1955,Bulgaria,BUL,christianity,5989532.0,0.7987
258,731,1960,Bulgaria,BUL,christianity,6011123.0,0.7641
259,732,1965,Bulgaria,BUL,christianity,5853578.0,0.7138
260,733,1970,Bulgaria,BUL,christianity,5997430.0,0.7064
261,734,1975,Bulgaria,BUL,christianity,6304622.0,0.7229
262,735,1980,Bulgaria,BUL,christianity,6719485.0,0.7582
263,736,1985,Bulgaria,BUL,christianity,6521083.0,0.7278
264,737,1990,Bulgaria,BUL,christianity,6884000.0,0.7657
265,738,1995,Bulgaria,BUL,christianity,6629941.0,0.7887
266,739,2000,Bulgaria,BUL,christianity,6876100.0,0.836
267,740,2005,Bulgaria,BUL,christianity,6403059.0,0.8273
268,741,2010,Bulgaria,BUL,christianity,6206119.0,0.8227
269,728,2015,Bulgaria,BUL,christianity,6206119.0,0.8227
270,996,1960,Burkina Faso,BFO,animism,3029760.0,0.7348
271,997,1965,Burkina Faso,BFO,animism,2996461.0,0.6563
272,998,1970,Burkina Faso,BFO,animism,2963162.0,0.5861
273,999,1975,Burkina Faso,BFO,animism,2990031.0,0.534
274,1000,1980,Burkina Faso,BFO,animism,3012900.0,0.4361
275,1001,1985,Burkina Faso,BFO,islam,3691592.0,0.4681
276,1002,1990,Burkina Faso,BFO,islam,4376500.0,0.4862
277,1003,1995,Burkina Faso,BFO,islam,5100000.0,0.5
278,1004,2000,Burkina Faso,BFO,islam,6804090.0,0.57
279,1005,2005,Burkina Faso,BFO,islam,7425160.0,0.58
280,1006,2010,Burkina Faso,BFO,islam,9023117.0,0.579
281,1001,2015,Burkina Faso,BFO,islam,9023117.0,0.579
282,1160,1965,Burundi,BUI,christianity,2342275.0,0.7297
283,1161,1970,Burundi,BUI,christianity,2601642.0,0.7341
284,1162,1975,Burundi,BUI,christianity,2852678.0,0.7617
285,1163,1980,Burundi,BUI,christianity,3363420.0,0.8168
286,1164,1985,Burundi,BUI,christianity,4025690.0,0.8533
287,1165,1990,Burundi,BUI,christianity,4891200.0,0.8962
288,1166,1995,Burundi,BUI,christianity,5424155.0,0.9067
289,1167,2000,Burundi,BUI,christianity,5623798.0,0.84
290,1168,2005,Burundi,BUI,christianity,6632591.0,0.8777
291,1169,2010,Burundi,BUI,christianity,7641386.0,0.889
292,1160,2015,Burundi,BUI,christianity,7641386.0,0.889
293,1813,1955,Cambodia,CAM,buddhism,4162400.0,0.86
294,1814,1960,Cambodia,CAM,buddhism,4723710.0,0.8694
295,1815,1965,Cambodia,CAM,buddhism,5400075.0,0.8793
296,1816,1970,Cambodia,CAM,buddhism,6100420.0,0.8793
297,1817,1975,Cambodia,CAM,buddhism,6104280.0,0.86
298,1818,1980,Cambodia,CAM,buddhism,5548280.0,0.8538
299,1819,1985,Cambodia,CAM,buddhism,6285550.0,0.8469
300,1820,1990,Cambodia,CAM,buddhism,7253800.0,0.8466
301,1821,1995,Cambodia,CAM,buddhism,8360600.0,0.85
302,1822,2000,Cambodia,CAM,buddhism,10783820.0,0.9656
303,1823,2005,Cambodia,CAM,buddhism,12792905.0,0.9365
304,1824,2010,Cambodia,CAM,buddhism,14801990.0,0.9669
305,1813,2015,Cambodia,CAM,buddhism,14801990.0,0.9669
306,1053,1960,Cameroon,CAO,animism,2860240.0,0.5401
307,1054,1965,Cameroon,CAO,animism,3030120.0,0.5152
308,1055,1970,Cameroon,CAO,animism,2640419.0,0.3993
309,1056,1975,Cameroon,CAO,christianity,3270910.0,0.4346
310,1057,1980,Cameroon,CAO,christianity,3935900.0,0.4629
311,1058,1985,Cameroon,CAO,christianity,5077980.0,0.4995
312,1059,1990,Cameroon,CAO,christianity,6038000.0,0.5258
313,1060,1995,Cameroon,CAO,christianity,7036810.0,0.53
314,1061,2000,Cameroon,CAO,christianity,7566370.0,0.5016
315,1062,2005,Cameroon,CAO,christianity,8938935.0,0.5015
316,1063,2010,Cameroon,CAO,christianity,9868484.0,0.4952
317,1056,2015,Cameroon,CAO,christianity,9868484.0,0.4952
318,14,1945,Canada,CAN,christianity,10531961.0,0.9153
319,15,1950,Canada,CAN,christianity,12225479.0,0.89
320,16,1955,Canada,CAN,christianity,13969532.0,0.8877
321,17,1960,Canada,CAN,christianity,16170219.0,0.9029
322,18,1965,Canada,CAN,christianity,17316559.0,0.88
323,19,1970,Canada,CAN,christianity,17889480.0,0.84
324,20,1975,Canada,CAN,christianity,20097739.0,0.8685
325,21,1980,Canada,CAN,christianity,21554382.0,0.8792
326,22,1985,Canada,CAN,christianity,23296160.0,0.9014
327,23,1990,Canada,CAN,christianity,24346000.0,0.8789
328,24,1995,Canada,CAN,christianity,24958842.0,0.8503
329,25,2000,Canada,CAN,christianity,25571687.0,0.821
330,26,2005,Canada,CAN,christianity,26057640.0,0.8067
331,27,2010,Canada,CAN,christianity,26431104.0,0.7661
332,14,2015,Canada,CAN,christianity,26431104.0,0.7661
333,876,1975,Cape Verde,CAP,christianity,292500.0,0.9848
334,877,1980,Cape Verde,CAP,christianity,289800.0,0.9791
335,878,1985,Cape Verde,CAP,christianity,325900.0,0.9787
336,879,1990,Cape Verde,CAP,christianity,327320.0,0.9599
337,880,1995,Cape Verde,CAP,christianity,368620.0,0.955
338,881,2000,Cape Verde,CAP,christianity,406199.0,0.9491
339,882,2005,Cape Verde,CAP,christianity,438406.0,0.9531
340,883,2010,Cape Verde,CAP,christianity,450220.0,0.9478
341,876,2015,Cape Verde,CAP,christianity,450220.0,0.9478
342,1086,1960,Central African Republic,CEN,animism,650000.0,0.5012
343,1087,1965,Central African Republic,CEN,animism,698760.0,0.488
344,1088,1970,Central African Republic,CEN,christianity,909406.0,0.4863
345,1089,1975,Central African Republic,CEN,christianity,1116773.0,0.5458
346,1090,1980,Central African Republic,CEN,christianity,1395400.0,0.6043
347,1091,1985,Central African Republic,CEN,christianity,1677360.0,0.6432
348,1092,1990,Central African Republic,CEN,christianity,1853000.0,0.6326
349,1093,1995,Central African Republic,CEN,christianity,2159140.0,0.6597
350,1094,2000,Central African Republic,CEN,christianity,1662483.0,0.4599
351,1095,2005,Central African Republic,CEN,christianity,2017690.0,0.4920000000000001
352,1096,2010,Central African Republic,CEN,christianity,2215305.0,0.4920000000000001
353,1088,2015,Central African Republic,CEN,christianity,2215305.0,0.4920000000000001
354,1097,1960,Chad,CHA,islam,1750000.0,0.5711
355,1098,1965,Chad,CHA,islam,1800000.0,0.5438
356,1099,1970,Chad,CHA,islam,1808053.0,0.4967
357,1100,1975,Chad,CHA,islam,1888026.0,0.4685
358,1101,1980,Chad,CHA,islam,1968000.0,0.4396
359,1102,1985,Chad,CHA,islam,2208800.0,0.44
360,1103,1990,Chad,CHA,islam,2672890.0,0.47
361,1104,1995,Chad,CHA,islam,3167500.0,0.5
362,1105,2000,Chad,CHA,islam,4124505.0,0.5391
363,1106,2005,Chad,CHA,islam,5530260.0,0.552
364,1107,2010,Chad,CHA,islam,6347232.0,0.552
365,1097,2015,Chad,CHA,islam,6347232.0,0.552
366,371,1945,Chile,CHL,christianity,5094592.0,0.9196
367,372,1950,Chile,CHL,christianity,5554000.0,0.9118
368,373,1955,Chile,CHL,christianity,6362928.0,0.9436
369,374,1960,Chile,CHL,christianity,7478800.0,0.9822
370,375,1965,Chile,CHL,christianity,8040827.0,0.9373
371,376,1970,Chile,CHL,christianity,8929331.0,0.9395
372,377,1975,Chile,CHL,christianity,9651000.0,0.9325
373,378,1980,Chile,CHL,christianity,10471712.0,0.9396
374,379,1985,Chile,CHL,christianity,11354910.0,0.9367
375,380,1990,Chile,CHL,christianity,12353325.0,0.943
376,381,1995,Chile,CHL,christianity,13585000.0,0.956
377,382,2000,Chile,CHL,christianity,14197856.0,0.9334
378,383,2005,Chile,CHL,christianity,14273550.0,0.8775
379,384,2010,Chile,CHL,christianity,15587652.0,0.9128
380,371,2015,Chile,CHL,christianity,15587652.0,0.9128
381,1626,1945,China,CHN,syncretism,422411220.0,0.77
382,1627,1950,China,CHN,syncretism,420034304.0,0.7345
383,1628,1955,China,CHN,syncretism,371559884.0,0.6101
384,1629,1960,China,CHN,syncretism,305005000.0,0.4639
385,1630,1965,China,CHN,syncretism,337111044.0,0.4623
386,1631,1970,China,CHN,syncretism,356136624.0,0.4287
387,1632,1975,China,CHN,noreligion,428850560.0,0.4622
388,1633,1980,China,CHN,noreligion,434404805.0,0.4349
389,1634,1985,China,CHN,noreligion,435087488.0,0.4066
390,1635,1990,China,CHN,noreligion,444546380.0,0.3848
391,1636,1995,China,CHN,syncretism,475354557.0,0.3896
392,1637,2000,China,CHN,syncretism,536574366.0,0.42
393,1638,2005,China,CHN,syncretism,547562373.0,0.42
394,1639,2010,China,CHN,syncretism,564973194.0,0.42
395,1626,2015,China,CHN,syncretism,564973194.0,0.42
396,256,1945,Colombia,COL,christianity,9293000.0,0.9049
397,257,1950,Colombia,COL,christianity,10487280.0,0.9253
398,258,1955,Colombia,COL,christianity,12698715.0,0.9641
399,259,1960,Colombia,COL,christianity,15020452.0,0.9743
400,260,1965,Colombia,COL,christianity,17546120.0,0.975
401,261,1970,Colombia,COL,christianity,20203471.0,0.9842
402,262,1975,Colombia,COL,christianity,22761920.0,0.9685
403,263,1980,Colombia,COL,christianity,24946450.0,0.9635
404,264,1985,Colombia,COL,christianity,28286950.0,0.9595
405,265,1990,Colombia,COL,christianity,30980000.0,0.9591
406,266,1995,Colombia,COL,christianity,33756907.0,0.9618
407,267,2000,Colombia,COL,christianity,39996945.0,0.9451
408,268,2005,Colombia,COL,christianity,41606496.0,0.9701
409,269,2010,Colombia,COL,christianity,44910647.0,0.9701
410,256,2015,Colombia,COL,christianity,44910647.0,0.9701
411,1319,1975,Comoros,COM,islam,309680.0,0.98
412,1320,1980,Comoros,COM,islam,375340.0,0.98
413,1321,1985,Comoros,COM,islam,439040.0,0.98
414,1322,1990,Comoros,COM,islam,512540.0,0.98
415,1323,1995,Comoros,COM,islam,601259.0,0.9824
416,1324,2000,Comoros,COM,islam,680512.0,0.9806
417,1325,2005,Comoros,COM,islam,588339.0,0.9806
418,1326,2010,Comoros,COM,islam,666746.0,0.9806
419,1319,2015,Comoros,COM,islam,666746.0,0.9806
420,1108,1960,Congo,CON,christianity,869440.0,0.88
421,1109,1965,Congo,CON,christianity,980470.0,0.8825
422,1110,1970,Congo,CON,christianity,1157682.0,0.9166
423,1111,1975,Congo,CON,christianity,1308114.0,0.904
424,1112,1980,Congo,CON,christianity,1535010.0,0.9197
425,1113,1985,Congo,CON,christianity,1730390.0,0.8994
426,1114,1990,Congo,CON,christianity,1976040.0,0.8853
427,1115,1995,Congo,CON,christianity,2243564.0,0.8652
428,1116,2000,Congo,CON,christianity,2430640.0,0.8259
429,1117,2005,Congo,CON,christianity,2865567.0,0.8413
430,1118,2010,Congo,CON,christianity,3228666.0,0.8063
431,1108,2015,Congo,CON,christianity,3228666.0,0.8063
432,228,1945,Costa Rica,COS,christianity,680000.0,0.9714
433,229,1950,Costa Rica,COS,christianity,773000.0,0.9663
434,230,1955,Costa Rica,COS,christianity,985500.0,0.9587
435,231,1960,Costa Rica,COS,christianity,1198000.0,0.9553
436,232,1965,Costa Rica,COS,christianity,1236000.0,0.9712
437,233,1970,Costa Rica,COS,christianity,1651066.0,0.956
438,234,1975,Costa Rica,COS,christianity,1927108.0,0.9792
439,235,1980,Costa Rica,COS,christianity,2205650.0,0.9825
440,236,1985,Costa Rica,COS,christianity,2498000.0,0.9455
441,237,1990,Costa Rica,COS,christianity,2620600.0,0.9343
442,238,1995,Costa Rica,COS,christianity,3097950.0,0.9295
443,239,2000,Costa Rica,COS,christianity,3771380.0,0.9375
444,240,2005,Costa Rica,COS,christianity,4057108.0,0.951
445,241,2010,Costa Rica,COS,christianity,3925741.0,0.8822
