,date,country,city,killed,injured,description,year
25,2002-01-18,India,Budhan,0,2,Two children are injured when a Muslim throws a grenade into a house.,2002
26,2002-01-20,India,Behra,11,3,"Muslim terrorists invade a home and slaughter eight children, two women and one man in a bloody rampage.",2002
27,2002-01-22,Israel,Jerusalem,2,40,"Palestinian terrorist fires assault rifle into a bus-stop, killing two women and injuring forty others.",2002
28,2002-01-22,Bangladesh,Kolkata,5,20,Five guards at the American Center are killed in a drive-by shooting attack by Islamists.,2002
29,2002-01-23,India,Donipora-Kantpora,2,0,Two civilians are abducted and murdered by the Mujahideen.,2002
30,2002-01-24,India,Sathra,1,3,A security officer is killed in an ambush by Muslim militants.,2002
31,2002-01-26,India,Hala,2,0,The Mujahideen murder a man and his mother inside their home.,2002
32,2002-01-27,Israel,Jerusalem,1,150,An 81-year-old is killed and over one-hundred and fifty injured by suicide bomber armed with more than 10k of explosives.,2002
33,2002-01-27,India,Pingla Dai,2,0,Two civilians are killed by Islamic terrorists at their village.,2002
34,2002-01-30,India,Lachipora,2,0,An off-duty police officer and a family member are killed in their home by the Mujahideen.,2002
35,2002-01-31,India,Reasi,3,5,"Islamic militants lob a grenade at the families of migrant workers, killing three, including two infants.",2002
36,2002-01-31,India,Sarhuti,1,1,Two family members are injured in a Mujahideen attack on their home.  One later dies of injuries.,2002
37,2002-01-31,India,Soo Bathoi,2,0,Pakistani-backed militants abduct two civilians and kill them in captivity.,2002
38,2002-02-01,India,Srinagar,1,0,Muslim separatists assassinate an independent newspaper editor in his office.,2002
39,2002-02-01,India,Dodabug,2,0,A political activist and his bodyguard are gunned down.,2002
40,2002-02-01,India,Sangrawas,2,0,Two civilians are abducted and murdered by Muslim terrorists.,2002
41,2002-02-03,Algeria,al-Medya,12,8,Five Islamic fundamentalists set up a false roadblock and proceed to slaughter a dozen unlucky motorists.,2002
42,2002-02-04,Bangladesh,Chittagong,1,3,"Jamaat-e-Islami militants set off a series of bombs at a press club, killing at least one person.",2002
43,2002-02-04,Pakistan,Jhang,1,0,Two Muslim terrorists gun down a cop involved in anti-terror activities.,2002
44,2002-02-04,India,Batfozen,3,0,"Islamic militants attack two women in their home, brutally killing them along with the young daughter of one.",2002
45,2002-02-04,Algeria,Seidi Lakhder,22,3,Most of the 25 victims were from the same family and were killed for trying to defend themselves. Knives and bullets were used by the Muslim radicals.,2002
46,2002-02-06,Israel,Moshav Hamra,3,0,Three people including a mother and her 11-year-old daughter are killed in a home invasion by an armed terrorist.,2002
47,2002-02-07,India,Chillar,1,0,A civilian is abducted and tortured to death by the Mujahideen.,2002
48,2002-02-08,Israel,Jerusalem,1,0,A 25-year-old Israeli is stabbed to death by four Palestinian teen-agers.,2002
49,2002-02-09,Israel,Ariel,1,0,Elderly man shot to death in a Palestinian ambush while driving car.,2002
50,2002-02-10,Israel,Be'er Sheva,2,4,Drive-by shooting leaves two young Israelis dead and four others wounded.,2002
51,2002-02-10,Algeria,Bouqra,6,0,Islamic fundamentalists slaughter a family of six in a senseless and barbaric attack.,2002
52,2002-02-12,Pakistan,Karachi,1,0,A doctor is gunned down outside his clinic in a sectarian attack.,2002
53,2002-02-12,India,Parori Gujaran,3,1,Three security forces are killed by Muslim terrorists in a shootout.,2002
54,2002-02-13,India,Bathian,1,0,Islamic militants kill a party activist and burn his house.,2002
55,2002-02-14,India,Thanna Mandi,1,0,A woman is killed by a group of Muslims.,2002
56,2002-02-15,Algeria,Jejil,3,1,Three members of the Algerian self-defense forces are killed in a bombing by Islamic fundamentalists.,2002
57,2002-02-15,India,Kashmir,3,0,"Three civilians are murdered by terrorists in separate attacks (Gowran, Markpora Sumbal and woman at Darhal).",2002
58,2002-02-16,India,Narala,8,7,"In a horrible attack, Lashkar-e-Toiba terrorists massacre eight members of two families, including two women and four children.",2002
59,2002-02-16,Israel,Karnei Shomron,3,30,Three teen-agers are blown apart by a Muslim suicide bomber at a pizzeria. Thirty others injured.,2002
60,2002-02-18,Israel,Gush Katif,3,1,Three Israelis are killed in a Palestinian shooting attack.,2002
61,2002-02-19,India,Gool,2,0,"Two people, including a civilian, are killed in an IED attack by the Mujahideen.",2002
62,2002-02-19,India,Kishtwar,1,16,"A civilian is killed, and sixteen others injured in a grenade attack by Muslim terrorists.",2002
63,2002-02-19,Israel,Ramallah,6,1,Six soldiers are killed when terrorists open fire at a roadblock.,2002
64,2002-02-22,Israel,Jerusalem,1,0,A 59-year-old man is murdered by a Palestinian terrorist while driving home from work.,2002
65,2002-02-22,Pakistan,Karachi,1,0,"Jewish journalist Daniel Pearl is kidnapped, held for several weeks, then killed by five Islamics. Videotape shows throat being cut.",2002
66,2002-02-22,India,Aragam,2,2,"The Mujahideen attack four civilians, killing two of them.",2002
67,2002-02-23,India,Wagbal,1,1,"A man is murdered by the Mujahideen, who also seriously injure his sister.",2002
68,2002-02-24,Nigeria,Gombi,1,0,"A young Christian woman is kidnapped by four Muslim men, who slit her throat and leave her to die.",2002
69,2002-02-24,Morocco,Casablanca,1,0,An 'impious' Muslim is stoned to death.,2002
70,2002-02-25,Israel,Neve Ya'akov,1,2,One killed and two injured by a Palestinian terrorist while waiting for a bus.,2002
71,2002-02-25,Israel,Tekoa,2,1,An Islamic terrorist kills two Jews and injures one other in a shooting attack.,2002
72,2002-02-26,India,Gujarat,59,38,"In a horrific and senseless attack, a group of militant Muslims set fire to a train carrying Hindu pilgrims. Fifty-nine innocents are burned to death, including fifteen children.",2002
73,2002-02-26,India,Kashmir,2,1,"Two civilians are killed in separate attacks by the Mujahideen (Moila, Newatta).",2002
74,2002-02-26,Pakistan,Rawalpindi,10,21,"Ten Shias are slaughtered, as Sunnis open up with automatic weapons at point-blank range at a mosque.  At least twenty others are injured.",2002
75,2002-02-27,Nigeria,Ilorin,3,0,Eid-el-Kabir celebrants kill three Christians.,2002
76,2002-02-27,India,Tangwari,1,1,The Mujahideen pull a man from a passenger bus and execute him by the roadside.,2002
77,2002-02-28,Israel,Atarot,1,0,Jewish employer killed by a Muslim employee. Fatah takes credit for this attack.,2002
78,2002-02-28,Pakistan,Karachi,2,11,"Islamists ambush a prisoner transport, killing a guard and a prisoner.",2002
79,2002-02-28,India,Udhampur,2,0,Separate attacks by the Mujahideen leave a police officer and a civilian dead.,2002
80,2002-03-02,India,Roshli,2,0,A man and wife are abducted from their home and killed by Muslim terrorists.,2002
81,2002-03-02,Israel,Jerusalem,10,52,"Ten people, mostly women and small children were killed by a suicide bomber. Most were waiting with baby carriages for their husbands to return from the synagogue.",2002
82,2002-03-02,Israel,Mar Saba,1,0,Jerusalem police detective assassinated by Tanzim while on holiday in the desert.,2002
83,2002-03-03,Israel,Kissufim,1,4,Soldier killed at a roadblock by Palestinian gunman. Four others injured.,2002
84,2002-03-03,Israel,Ofra,10,6,Hamas terrorist kills ten and wounds six by opening fire at a roadblock.,2002
85,2002-03-03,India,Kashmir,2,0,"Two civilians are killed in separate terror attacks (Handwara, Yaripora).",2002
86,2002-03-04,India,Morha Pathana,4,0,The Mujahideen abduct and massacre four civilians in a brutal attack.,2002
87,2002-03-04,Pakistan,Khyaban-e-Hafiz,1,0,A doctor is killed by two gunmen in a sectarian attack.,2002
88,2002-03-05,Israel,Afula,1,17,85-year-old man is killed in a Fedayeen suicide bombing at a bus station.,2002
89,2002-03-05,Israel,Bethlehem,1,1,A female motorist gunned down by a Palestinian sniper. Her husband is badly injured.,2002
90,2002-03-05,Israel,Tel Aviv,3,30,Three Israelis are killed and more than thirty injured when two Muslim gunmen open fire at adjacent restaurants.,2002
91,2002-03-06,Israel,Khan Yunis,2,0,Two Israeli soldiers are killed in a Palestinian ambush.,2002
92,2002-03-07,Nigeria,Enugu,12,0,"Muslim gunmen storm a Christian prayer meeting attempting to kill the leader. Twelve are killed, an unknown number injured.",2002
93,2002-03-07,Pakistan,Lyari,1,0,Another physician is killed in a sectarian attack on his car.,2002
94,2002-03-07,India,Kashmir,3,0,"In separate attacks (Watnar, Mendhar, Androon) three civilians are killed after being taken captive.",2002
95,2002-03-07,Israel,Gush Katif,5,23,Five Israeli teen-agers are killed and twenty-three are injured by a Palestinian sniper in a heinous shooting.,2002
96,2002-03-08,Algeria,al-Bleida,6,0,"Islamic attackers open fire on a civilian vehicle then set the car on fire, killing a half-dozen people.",2002
97,2002-03-08,Israel,Tulkarm,1,0,An Israelis soldier is killed by a Palestinian sniper.,2002
98,2002-03-08,Pakistan,Multan,1,0,A retired Shia banker is killed by radical Sunnis in his shop.,2002
99,2002-03-09,Pakistan,New Karachi,1,1,"A doctor is gunned down by Sunnis on motorcycles, who also injure a patient.",2002
100,2002-03-09,Israel,Jerusalem,11,54,A Hamas (Islamic Resistance) suicide bomber kills eleven and injures 54 at a crowded cafe.,2002
101,2002-03-09,Israel,Netanya,2,50,The Fatah Al-Aqsa Brigades takes credit for killing a 9-month-old infant and one other in grenade attack that also left 50 others injured.,2002
102,2002-03-10,Pakistan,Akora Khattak,2,20,"Bomb rocks a local exhibition, killing at least two.",2002
103,2002-03-10,India,Chak Seri,1,1,"The Mujahideen abduct two civilians, later executing one of them.  Fate of the other is unknown.",2002
104,2002-03-11,Pakistan,Muzaffargarh,4,0,Four people are killed in sectarian violence between Shias and Sunnis.,2002
105,2002-03-12,Israel,Metzuba,6,7,"Gunmen disguised in IDF uniforms ambush a bus and kill six, wound seven.",2002
106,2002-03-12,Pakistan,Karimabad,1,0,A Shia doctor is gunned down outside his clinic.,2002
107,2002-03-12,India,Kashmir,4,0,Four civilians are abducted and murdered by the Mujahideen in separate attacks.,2002
108,2002-03-13,India,Morha Kuthyani,2,0,A civilian and his son are shot to death by radical Muslims.,2002
109,2002-03-13,India,Nowshera,2,0,Islamic rebels rape a Hindu woman before killing her and her son.  The bodies are left in the forest.,2002
110,2002-03-14,Israel,Gaza,3,2,Terrorists detonate a bomb by remote control that kills three Israelis and injures two.,2002
111,2002-03-16,Pakistan,Jhang,5,0,Five policemen are gunned down by Islamists.,2002
112,2002-03-17,Pakistan,Islamabad,5,45,Grenade attack on a Christian church kills five worshippers including American woman and her 17-year-old daughter. Forty-five others were injured.,2002
113,2002-03-17,Israel,Kfar Saba,1,16,"A Palestinian terrorist opens fire on motorists, taking the life of a teenager and injuring sixteen others.",2002
114,2002-03-18,Pakistan,Quetta,1,0,A party activist is killed in a sectarian attack.,2002
115,2002-03-19,Algeria,Algiers,0,13,Thirteen injured by home-made bomb at the post office set by Islamic fundamentalists.,2002
116,2002-03-19,Algeria,Souq al-Had,4,0,Four farmers are ambushed and killed by armed Islamic fundamentalists.,2002
117,2002-03-19,Algeria,Souq al-Had,6,0,"Islamic fundamentalists kill six victims, all from the same family. The father and mother were beheaded - the four children mutilated.",2002
118,2002-03-19,USA,"Tuscon, AZ",1,0,A 60-year-old man is gunned down by Muslim snipers on a golf course.,2002
119,2002-03-19,Pakistan,Lahore,3,0,"Three people, including a professor, are killed in two sectarian attacks.",2002
120,2002-03-19,India,Plangar,1,0,Militant Muslims hang a young girl.,2002
121,2002-03-20,India,Dogripora,2,5,Two children are killed by a Mujahideen IED blast.,2002
122,2002-03-20,Israel,Musmus,7,30,Seven passengers are killed when a Fedayeen suicide bomber blows up a passenger bus.  Thirty others are injured in the blast.,2002
123,2002-03-21,Israel,Jerusalem,3,86,Suicide bomber kills three and injures eighty-six when detonating in a crowd of shoppers.,2002
124,2002-03-21,Pakistan,Karachi,1,0,The Shia owner of a video shop is gunned down by militant Sunnis.,2002
125,2002-03-21,India,Damhal Hanjipora,0,14,Fourteen people are injured when a Muslim radical throws a grenade at a bus stop.,2002
126,2002-03-22,India,Shopian,0,35,Thirty-five people sustain injury when a Fedayeen hurls a grenade into a crowded market.,2002
127,2002-03-23,India,Srinagar,2,20,A woman is among two people killed by Lashkar-e-Toiba in a grenade attack.,2002
128,2002-03-24,Israel,Ramallah,1,0,A woman is killed by a Palestinian sniper while riding on a bus.,2002
129,2002-03-24,India,Kashmir,6,2,Lashkar-e-Toiba terrorists are thought responsible for three attacks that leave six security force members dead.,2002
130,2002-03-25,India,Malanu,1,0,A man is abducted and tortured to death by the Mujahideen.,2002
131,2002-03-27,Israel,Netanya,29,133,Hamas (Islamic Resistance) bomber kills twenty-nine Jews celebrating Passover in a hotel. One-hundred and thirty-seven others are injured in the attack.,2002
132,2002-03-28,Israel,Elon Moreh,4,0,"A 20-year-old man, his two middle-aged parents and his grandfather were killed during a home invasion by a Muslim gunman.",2002
133,2002-03-29,Israel,Jerusalem,4,28,Two security guards are killed and twenty-eight people injured by a suicide bomber. Two soldiers were also killed by Palestinians in Ramallah.,2002
134,2002-03-29,Israel,Neztarim,2,0,Two elderly Jews are killed by a Palestinian terrorist.  Two Palestinian groups claim credit.,2002
135,2002-03-29,India,Rajouri,2,0,The Mujahideen burn houses and kill two civilians.,2002
136,2002-03-29,India,Kalakote,2,1,A Fedayeen attack kills two border guards.,2002
137,2002-03-30,India,Jammu,7,20,"A Fedayeen attack on a Hindu temple kills seven people, including a female pilgrim.",2002
138,2002-03-30,Israel,Tel Aviv,1,30,"A 36-year-old woman is murdered, and thirty others wounded by a suicide bomber in a cafe.",2002
139,2002-03-31,Israel,Haifa,15,40,Fifteen Israelis are killed in a restaurant by a Fedayeen suicide bomber. Over forty others are burned and maimed in the explosion.,2002
140,2002-03-31,Pakistan,Bahawalpur,2,0,A mosque caretaker and his son are killed in a sectarian attack.,2002
141,2002-03-31,India,Azmatabad,1,0,A man is killed inside his home merely for being the brother of a police officer.,2002
142,2002-04-01,Pakistan,Spin Qaira,2,12,"Bomb explodes on a passenger bus, killing at least two people.",2002
143,2002-04-01,India,Bowan-Watsar,1,1,Islamic terrorists kill a teacher inside his home in an attack that also injures his young son.,2002
144,2002-04-02,India,Tabaloo-Sung,2,0,Two policemen are killed in a village ambush by the Mujahideen.,2002
145,2002-04-03,India,Chanchora,2,1,"Terrorists attack the house of a civilian, killing his son.  Elsewhere (Handwara) a man is abducted and murdered.",2002
146,2002-04-04,India,Lopra,1,0,A public works employee is murdered outside his residence.,2002
147,2002-04-04,India,Baramulla,4,0,"In a brutal attack, Tehreek-e-Jehad-e-Islami members enter the house of a civilian and shoot him to death, along with his wife, daughter and another girl.",2002
148,2002-04-04,Indonesia,Ambon,5,57,"An Islamist throws a bomb into a Christian center, killing five and injuring fifty-seven other innocents.",2002
149,2002-04-06,Israel,Rafiah Yam,1,5,"Palestinian gunman opens fire at the entrance to a settlement. One is killed, five are wounded.",2002
150,2002-04-08,Afghanistan,Jalalabad,9,92,"A terrorist bomb explodes near a government convoy. Nine are killed, ninety-two are injured.",2002
151,2002-04-08,India,Dandli Dansal,8,6,"A horrific assault by Hizbul Mujahideen on a village leaves seven persons, including three children and two women dead.  Another child subsequently dies of injuries.",2002
152,2002-04-09,India,Kulgam,2,0,Two brothers are abducted and murdered by Lashkar-e-Toiba.,2002
153,2002-04-09,India,Kokernag,2,11,"A grenade attack by militant Muslims leaves two civilians dead and eleven others, including three girls, critically injured.",2002
154,2002-04-09,Israel,Jenin,13,7,Thirteen IDF reservists are killed and seven injured by the combined efforts of a very young Palestinian suicide bomber and supporting gunfire.,2002
155,2002-04-10,Israel,Yagur,8,22,Eight people are killed by a Muslim bomber while riding on a bus. Twenty-two others are injured in the attack.,2002
156,2002-04-11,Tunisia,Erriadh,21,18,Islamic suicide bomber kills twenty-one in an attack on town's oldest synagogue. Youngest fatality is an 11-year-old German boy.,2002
157,2002-04-12,Israel,Jerusalem,6,104,"Six people, including two Chinese nationals, are killed by a Palestinian suicide bomber at a bus stop in an attack that leaves one-hundred and four others injured.",2002
158,2002-04-12,India,Kashmir,10,17,Four separate Fedayeen attacks across the region leave ten innocents dead and at least seventeen others injured.,2002
159,2002-04-13,India,Bonkoot,1,2,A Mujahideen attack on a security patrol leaves one member dead.,2002
160,2002-04-14,India,Pulwama,1,9,A grenade lobbed onto the road by a militant Muslim kills a civilian and injures nine others.,2002
161,2002-04-15,India,Doda,1,0,A woman is cut down by Muslim terrorists.,2002
162,2002-04-16,India,Srinagar,2,0,The Mujahideen kills two civilians with an IED.,2002
163,2002-04-16,India,Awantipora,2,4,Two civilians are killed in a bomb blast at a market.,2002
164,2002-04-18,India,Dooru,1,0,A civilian is abducted and killed by Islamic terrorists.,2002
165,2002-04-20,India,Milan,3,4,"The Mujahideen attacks a security patrol, killing three members.",2002
166,2002-04-20,India,Sagarian Azmatabad,2,0,Islamists kill a man and his grandmother at their residence.,2002
167,2002-04-21,Pakistan,Karachi,1,0,A physician succumbs to injuries suffered in a sectarian attack.,2002
168,2002-04-22,India,Kashmir,3,0,"In separate attacks, two people are abducted and killed, and a woman is killed inside her home by Islamic militants.",2002
169,2002-04-22,India,Nagam,2,0,Two laborers are shot to death by Islamic terrorists.,2002
170,2002-04-23,India,Shopian,1,3,Four students are kidnapped and 'severely' tortured.  A 15-year-old dies and the others are freed.,2002
171,2002-04-23,Bangladesh,Chittagong,1,0,A Buddhist monk is stabbed to death by Islamic terrorists after returning home from prayers.,2002
172,2002-04-24,Algeria,al-Jeije,16,0,"Fundamentalists kill a total of sixteen includes eight children and four women, all from the same family.",2002
173,2002-04-25,India,Gharat Morh,1,2,A civilian is killed when Islamic militants lob a bomb under a passenger bus.  Twenty-one others are injured.,2002
174,2002-04-25,Pakistan,Lahore,12,25,"Radical Sunnis bomb a Shia ceremony, slaughtering twelve, including seven women and five children.  Twenty-five others suffer injury.",2002
175,2002-04-25,India,Dharmsal,2,0,Two civilians are abducted by militant Muslims.  Their bodies are recovered four days later.,2002
176,2002-04-25,Algeria,Mashraat Sava,4,0,Armed Islamic attack kills four people.,2002
177,2002-04-27,Israel,Adora,4,7,"Palestinian terrorists dressed in IDF uniforms infiltrate a settlement and killed four civilians, including a 5-year old boy. Seven others were injured.",2002
178,2002-04-28,Sudan,Shoba Karika,24,23,"An Arab militia attacks two villages, killing about two dozen African civilians and burning many houses.  At least that many are injured as well.",2002
179,2002-04-28,Indonesia,Soya,12,6,Muslims attack a Christian village with knives and guns. They are able to slaughter twelve people and hurt six more.,2002
180,2002-04-29,India,Sangarwani Keller,1,0,A civilian is abducted and murdered by the Mujahideen.,2002
181,2002-05-01,Pakistan,Muzaffarabad,1,4,A bombing kills a 5-year-old boy and injures four of his family members.,2002
182,2002-05-01,Pakistan,Karachi,0,20,"Two blasts, occurring at a market and a nursery, injure twenty, including children.",2002
183,2002-05-01,Bangladesh,Natore,1,25,"Islamic fundamentalists bomb a cinema, killing a young boy and injuring two dozen others.",2002
184,2002-05-02,Algeria,Sedi Khaled,11,0,"Eleven civilians, including children, are massacred by Islamic fundamentalists.",2002
185,2002-05-02,Algeria,Kasar Shalala,20,5,Islamist attack on civilians in the Teyart region leaves twenty dead.,2002
186,2002-05-02,Pakistan,Karachi,1,4,A man is killed by a bomb in his own home.  Four family members are injured.,2002
187,2002-05-02,India,Athwatoo,1,0,A civilian is abducted and murdered by the Mujahideen.,2002
188,2002-05-03,India,Bandipore,3,0,Islamists behead two brothers and shoot another civilian dead in a separate attack.,2002
189,2002-05-04,India,Madiyani,5,0,"Hizb-ul-Mujahideen murder five people, including two brothers and a father and son in an overnight raid.",2002
190,2002-05-05,Pakistan,Karachi,1,0,A Sunni activist is slain in a sectarian attack.,2002
191,2002-05-05,India,Kashmir,2,0,Two civilians are murdered by the Mujahideen in separate attacks (Hajipora & Budhal).,2002
192,2002-05-05,Pakistan,Karachi,1,0,Policeman killed by Islamist gunmen.,2002
193,2002-05-06,Pakistan,Karachi,3,0,"Three persons - principal of a government institute, his driver and assistant - are killed in an ambush by armed fundamentalists.",2002
194,2002-05-07,Israel,Rishon Lezion,15,55,Fifteen people are killed and fifty-five more injured in a Fedayeen suicide attack on a crowded game club.,2002
195,2002-05-07,Pakistan,Lahore,3,0,"Noted religious scholar Ghulam Murtaza Malik, his driver and a police personnel are shot to death by Islamists..",2002
196,2002-05-07,Pakistan,Karachi,1,0,Another sectarian killing by two gunmen.,2002
197,2002-05-08,India,Morha Bagla,1,0,Two Jihad terrorists kill a man after getting directions from him.,2002
198,2002-05-08,Pakistan,Karachi,16,34,Twelve French nationals and four Pakistanis are killed and 34 more injured in a suicide bombing against a bus opposite Sheraton Hotel.,2002
199,2002-05-09,Dagestan,Kaspiisk,45,170,"Chechen terrorists detonate a bomb at a Russian military parade, slaughtering forty-five innocents and injuring more than one-hundred and seventy.",2002
200,2002-05-09,Pakistan,Rawalpindi,2,1,Two policemen killed and one injured in Islamist attack.,2002
201,2002-05-09,India,Dalwa,1,1,"Lashkar-e-Toiba abduct two brothers who refuse to join them.  Both are tortured, with one dying.",2002
202,2002-05-10,India,Kither,1,1,The Mujahideen kill one civilian and severely injure another in their homes.,2002
203,2002-05-10,India,Nandipora-Beerwah,2,0,A man and his elderly father are killed inside their home by militant Muslims.,2002
204,2002-05-12,India,Butshungni-Winder,2,2,"The Mujahideen kill two civilians, critically injure another and abduct a fourth.",2002
205,2002-05-13,India,Sarawa,1,0,Lashkar-e-Toiba terrorists force their way into a home and kill a man's son for his refusal to join them.,2002
206,2002-05-14,Algeria,Baraqi,5,0,Five policeman are assassinated by fundamentalists in two separate attacks (first attack was in Dali Ibrahim).,2002
207,2002-05-14,Algeria,Tazmalt,7,5,Religious fundamentalists set off a bomb at the entrance to a market.,2002
208,2002-05-14,India,Kaluchak,36,48,"Islamic militants raid a military camp, killing thirty-six people, mostly the wives and children of Indian soldiers, including a 2-month-old child.",2002
209,2002-05-16,Indonesia,Tamonjeka,2,0,Two Christian men are killed by suspected Muslim radicals.,2002
210,2002-05-17,India,Bonkoot,1,1,Jaish-e-Mohammed murder an 18-year-old and injure his mother as she tries to protect him.,2002
211,2002-05-17,India,Jammu,2,16,Two are killed in militant Muslim bomb blast.,2002
212,2002-05-19,India,Chasana,4,7,Fedayeen attack on Indian military camp kills four and leaves seven injured.,2002
213,2002-05-19,Israel,Netanya,3,59,A Palestinian suicide bomber kills three and injures fifty-nine other shoppers at a market.,2002
214,2002-05-21,Pakistan,Karachi,1,12,One person is killed in a sectarian attack on a Shia religious procession.,2002
215,2002-05-22,Israel,Rishon Lezion,2,40,A Palestinian suicide bomber kills two and injures forty people at a shopping mall.,2002
216,2002-05-22,India,Kashmir,5,3,Five people are killed by the Mujahideen in four separate attacks.,2002
217,2002-05-22,Pakistan,Gulistan-e-Mustafa,1,0,A Sunni activist is killed in a sectarian attack.,2002
218,2002-05-23,India,Kashmir,2,10,"Two civilians are separately abducted and murdered by the Mujahideen (Kandi, Warpora).  Ten others are injured in a grenade attack at a bus station.",2002
219,2002-05-24,India,Kupwara,2,0,Two civilians are killed in separate attacks by Islamic terrorists (one in captivity).,2002
220,2002-05-25,India,Shopian,9,0,Nine persons are injured in a grenade attack on a city street.,2002
221,2002-05-25,Indonesia,Saparua,5,11,A Muslim boat attack kills five Christians and wounds eleven others.,2002
222,2002-05-27,USA,"Denton, TX",1,0,Muslim snipers kill a man as he works in his yard.,2002
223,2002-05-27,Israel,Petah Tikva,2,37,Fatah takes credit for killing a 14-month-old baby and her grandmother near an ice-cream parlor in an attack that also injured thirty-seven.,2002
224,2002-05-28,Israel,Itamar,3,2,Palestinian gunman kills three teenagers and injures another two. All youths were playing basketball in their community at the time.,2002
225,2002-05-28,India,Sharat Shopian,2,0,The Mujahideen murder two sisters.,2002
226,2002-05-30,Pakistan,Karachi,1,0,The female principle of a private school is shot to death by Islamists as she is walking to the building.,2002
227,2002-05-30,India,Thanna Mandi,2,1,A female police officer and a civilian are killed in a Mujahideen attack.,2002
228,2002-05-30,India,Thuru,2,0,Two security personnel are killed in a Jihad ambush.,2002
229,2002-05-30,India,Doda,3,3,A Fedayeen attack on a police station leaves three officers dead and three injured.,2002
230,2002-05-31,India,Gonikhan,1,16,A Jihadi kills a young child and injures sixteen others with a grenade.,2002
231,2002-05-31,India,Srinagar,0,14,Fourteen people are critically injured in a grenade attack by a militant Muslim.,2002
232,2002-06-01,India,Anantnag,0,18,Three women are among eighteen victims of a grenade attack on a city street.,2002
233,2002-06-02,England,"Orpington, Kent",1,0,33-year-old British man beaten to death by a Muslim gang.,2002
234,2002-06-02,Philippines,Jolo,1,2,Abu Sayyaf militants abduct three sailors and hold them for nearly a year.  Two escape and one is executed.,2002
235,2002-06-02,India,Kashmir,2,0,Two civilians are murdered is separate Mujahideen attacks (Gudder & Botingo).,2002
236,2002-06-03,India,Dureja,1,0,Muslims kill a woman for granting official approval to an inter-religious marriage.,2002
237,2002-06-05,India,Bangalore,2,0,A Christian man and his Muslim wife are captured and hacked to death by her family for marrying outside Islam.  Their one-year-old baby is spared.,2002
238,2002-06-05,India,Kashmir,3,0,Three civilians are killed by Jihadis in separate attacks.,2002
239,2002-06-05,Indonesia,Tentena,4,17,"A bomb planted by Muslim radicals explodes on a church bus killing four, including the pastor, and wounding seventeen.",2002
240,2002-06-05,Israel,Afula,17,38,Seventeen people killed by a Muslim suicide bomber while riding in a bus. Thirty-eight others were injured.,2002
